,x0,x1,k2,k3,k4,k5,k6,k7,k8,k9,k10
,,,,,,,,,,,
,,,,,,,,,,,
Precinct,,,,,,,,,,,
01-446 Aurora,-0.0961312095725,0.284375685751,1,1,2,1,5,4,6,4,6
01-455 Fairbanks No. 1,-0.063650157994,-0.0479599414965,1,1,2,1,5,4,6,4,2
01-465 Fairbanks No. 2,-0.0576260528627,0.0608196819898,1,1,2,1,5,4,6,4,6
01-470 Fairbanks No. 3,0.122108331976,0.232624172923,0,1,2,1,5,4,6,4,6
01-475 Fairbanks No. 4,-0.0816353867562,0.226050167886,1,1,2,1,5,4,6,4,6
01-480 Fairbanks No. 5,-0.119041355367,0.217033853539,1,1,2,1,4,4,5,7,3
01-485 Fairbanks No. 6,-0.130920753385,0.0348197564212,1,1,2,1,5,4,6,4,6
01-490 Fairbanks No. 7,0.00189879491512,0.033733992168,0,1,2,1,5,4,6,4,6
01-495 Fairbanks No. 10,-0.301523990016,0.0590028969282,1,1,2,1,4,4,6,7,2
02-345 Badger No. 2,-0.647085079864,-0.20763977904,1,0,0,2,1,3,2,6,9
02-355 Fairbanks No. 8,-0.0687347107606,0.183148341379,1,1,2,1,5,4,6,4,6
02-365 Fairbanks No. 9,-0.234806754517,0.0898433607108,1,1,2,1,5,4,6,7,6
02-375 Fort Wainwright,-1.0018611356,-0.71484396031,1,0,0,2,1,3,2,5,9
03-130 Badger No. 1,-0.748563651831,-0.231838281389,1,0,0,2,1,3,2,6,9
03-135 Chena Lakes,-0.925086383678,-0.286215549193,1,0,0,2,1,3,2,6,9
03-165 Newby,-0.824775331273,-0.114787860397,1,0,0,2,1,3,2,6,9
03-175 North Pole,-0.649896580613,-0.162935427031,1,0,0,2,1,3,2,5,9
03-183 Plack,-0.882168523467,-0.318418741477,1,0,0,2,1,3,2,6,9
04-230 Ester,0.537018960196,0.587447157447,0,1,3,4,2,5,1,0,4
04-240 Farmers Loop,0.464361553032,0.682559862738,0,1,3,4,2,5,1,0,4
04-250 Goldstream No. 1,0.397059067187,0.671232529403,0,1,3,4,2,5,1,0,4
04-260 Goldstream No. 2,0.66815411928,0.702699057394,0,1,3,4,2,5,1,0,4
04-265 Steese East-Gilmore,-0.366664753044,0.226896401148,1,1,2,1,4,4,5,7,3
04-270 Steese West,-0.253119480651,0.159855111078,1,1,2,1,4,4,6,7,6
04-280 University Hills,0.679974152286,0.822139317962,0,1,3,4,2,5,1,0,4
05-580 Airport,-0.548882248714,0.19437306005,1,0,0,1,4,2,5,1,0
05-582 Chena,0.187159153549,0.438460446408,0,1,3,4,5,5,6,4,6
05-586 Geist,0.106289608427,0.382699973317,0,1,2,1,5,4,6,4,6
05-587 Lakeview,-0.791028521479,-0.00267463711857,1,0,0,2,1,2,2,6,9
05-588 Pike,-0.226593565692,0.117938689378,1,1,2,1,5,4,6,4,6
05-590 Richardson,-0.873917956434,-0.286181823836,1,0,0,2,1,3,2,6,9
05-592 Shanly,-0.0920091395779,0.158345699292,1,1,2,1,5,4,6,4,6
05-594 University Campus,0.754680572301,0.750261939113,0,1,3,4,2,5,1,0,4
05-596 University West,-0.0313262106457,0.160262499782,1,1,2,1,5,4,6,4,6
